Date,Open,High,Low,Close,Volume
05/27/2022,"100.14","102.40","99.38","102.26","104,348,398"
05/26/2022,"91.34","100.33","90.74","98.75","128,792,703"
05/25/2022,"90.43","93.89","89.52","92.65","111,771,102"
05/24/2022,"92.54","93.42","89.62","91.16","123,341,398"
05/23/2022,"91.66","95.19","90.92","95.07","128,773,000"
05/20/2022,"98.39","98.64","88.26","93.50","164,126,797"
05/19/2022,"96.69","100.69","95.09","96.67","141,506,203"
05/18/2022,"100.00","104.22","95.71","96.28","142,603,203"
05/17/2022,"97.88","103.20","97.54","102.47","164,227,203"
05/16/2022,"93.86","98.17","93.08","94.24","131,065,695"
05/13/2022,"88.30","96.57","88.22","95.12","138,068,094"
05/12/2022,"86.60","88.55","83.27","87.06","129,214,203"
05/11/2022,"87.84","93.46","86.53","87.92","136,137,906"
05/10/2022,"89.18","90.77","85.41","88.73","137,235,500"
05/09/2022,"92.87","93.74","85.38","86.36","144,523,703"
05/06/2022,"94.34","98.18","92.65","95.34","144,286,594"
05/05/2022,"97.65","97.84","92.17","93.87","153,129,797"
05/04/2022,"98.18","99.69","91.70","99.42","225,394,094"
05/03/2022,"89.85","92.21","89.01","91.13","126,381,797"
05/02/2022,"85.66","90.37","85.32","89.84","98,304,086"
04/29/2022,"88.05","91.79","85.38","85.52","82,647,695"
04/28/2022,"86.67","90.58","84.78","89.64","91,495,445"
04/27/2022,"84.25","87.90","84.02","84.91","83,125,047"
04/26/2022,"89.74","90.12","85.08","85.16","89,127,398"
04/25/2022,"89.86","91.37","88.61","90.69","93,481,039"
04/22/2022,"90.03","91.46","87.94","88.14","75,017,648"
04/21/2022,"95.16","96.23","89.24","89.85","76,680,641"
04/20/2022,"97.84","97.91","93.20","94.02","62,489,047"
04/19/2022,"93.39","97.07","92.84","96.93","77,069,508"
04/18/2022,"92.03","95.16","91.64","93.89","80,605,750"
04/14/2022,"98.37","98.39","92.92","93.06","73,354,367"
04/13/2022,"95.30","98.33","94.71","97.74","77,728,414"
04/12/2022,"98.78","99.59","94.60","95.10","89,246,445"
04/11/2022,"98.60","98.67","95.94","97.37","95,527,664"
04/08/2022,"102.51","102.99","100.42","101.00","92,746,656"
04/07/2022,"103.92","105.24","100.91","103.72","91,895,531"
04/06/2022,"104.45","105.74","101.71","103.67","105,256,602"
04/05/2022,"109.69","110.48","106.05","106.82","79,531,961"
04/04/2022,"109.97","110.94","107.03","110.53","90,220,031"
04/01/2022,"110.48","111.42","106.10","108.19","111,867,102"
03/31/2022,"116.31","116.38","109.02","109.34","147,004,797"
03/30/2022,"123.04","125.67","118.59","119.22","99,476,953"
03/29/2022,"122.28","123.71","119.59","123.23","94,143,031"
03/28/2022,"117.70","120.41","116.71","120.24","92,966,148"
03/25/2022,"119.92","121.40","117.25","119.67","95,852,383"
03/24/2022,"114.96","120.55","113.71","120.53","121,961,297"
03/23/2022,"114.29","117.55","112.21","113.92","90,579,148"
03/22/2022,"115.43","117.95","113.81","114.78","101,672,602"
03/21/2022,"113.73","117.57","112.54","115.92","101,905,906"
03/18/2022,"111.28","114.93","110.55","113.46","105,834,797"
03/17/2022,"112.14","114.27","109.71","111.69","103,201,695"
03/16/2022,"111.60","115.42","109.89","115.37","113,689,797"
03/15/2022,"102.66","109.69","101.79","109.33","112,425,508"
03/14/2022,"102.99","105.24","101.04","102.25","89,731,680"
03/11/2022,"108.13","108.19","104.08","104.29","87,584,430"
03/10/2022,"108.89","109.07","103.07","106.46","102,557,398"
03/09/2022,"108.41","111.71","106.85","111.05","102,310,305"
03/08/2022,"102.81","109.90","100.08","105.53","135,348,297"
03/07/2022,"108.53","109.53","102.82","102.95","92,599,969"
03/04/2022,"112.00","113.00","106.81","108.41","100,671,297"
03/03/2022,"118.13","118.26","111.05","111.98","123,916,703"
03/02/2022,"115.47","119.48","113.31","118.28","118,354,492"
03/01/2022,"122.33","122.43","112.80","113.83","126,552,203"
02/28/2022,"120.31","124.61","119.20","123.34","124,666,094"
02/25/2022,"117.16","121.23","116.04","121.06","127,821,000"
02/24/2022,"104.56","116.96","104.26","116.61","142,956,609"
02/23/2022,"117.40","118.65","109.04","109.76","120,299,398"
02/22/2022,"115.27","119.20","113.61","115.65","141,648,500"
02/18/2022,"113.90","115.64","109.89","113.83","114,321,203"
02/17/2022,"116.26","116.98","112.26","112.37","98,179,641"
02/16/2022,"119.05","119.54","114.22","117.69","119,109,602"
02/15/2022,"117.19","121.88","114.36","121.47","144,139,703"
02/14/2022,"115.51","118.37","113.46","114.27","135,146,406"
02/11/2022,"126.14","127.17","111.81","113.18","164,723,203"
02/10/2022,"128.84","131.76","124.61","125.77","108,939,906"
02/09/2022,"129.60","132.96","127.65","132.85","92,948,867"
02/08/2022,"122.38","128.71","122.05","128.23","84,902,750"
02/07/2022,"123.56","127.63","122.79","123.67","81,672,492"
02/04/2022,"120.34","124.96","118.58","123.60","86,212,008"
02/03/2022,"120.32","125.37","118.82","120.08","103,599,508"
02/02/2022,"129.89","130.06","120.64","122.76","180,064,984"
02/01/2022,"116.75","117.26","112.73","116.78","122,467,906"
01/31/2022,"107.93","114.31","106.90","114.25","97,205,992"
01/28/2022,"101.55","105.40","99.35","105.24","98,749,523"
01/27/2022,"111.96","112.75","101.94","102.60","125,954,094"
01/26/2022,"114.55","117.16","108.63","110.71","94,752,609"
01/25/2022,"114.10","114.82","109.86","111.13","85,102,914"
01/24/2022,"115.40","116.77","107.50","116.53","116,301,797"
01/21/2022,"120.14","125.02","118.39","118.81","95,685,273"
01/20/2022,"126.04","128.51","121.41","121.89","91,157,289"
01/19/2022,"133.55","134.57","128.02","128.27","69,831,852"
01/18/2022,"134.50","136.39","131.59","131.93","56,589,461"
01/14/2022,"131.68","137.00","131.43","136.88","71,078,438"
01/13/2022,"139.44","141.25","131.81","132.74","76,618,062"
01/12/2022,"138.59","140.57","135.77","137.47","69,669,602"
01/11/2022,"133.45","138.99","131.59","137.31","77,153,914"
01/10/2022,"129.08","132.42","125.03","132.00","84,671,344"
01/07/2022,"136.28","137.44","131.13","132.00","58,441,102"
01/06/2022,"136.19","138.00","131.77","136.23","64,802,941"
01/05/2022,"142.82","143.76","135.29","136.15","65,403,168"
01/04/2022,"151.01","152.42","140.70","144.42","80,200,461"
01/03/2022,"145.14","151.65","145.02","150.24","59,477,672"
12/31/2021,"146.16","148.61","143.55","143.90","49,448,141"
12/30/2021,"147.44","148.85","144.85","145.15","44,358,000"
12/29/2021,"152.82","154.34","147.29","148.26","51,300,207"
12/28/2021,"155.88","156.73","151.38","153.15","58,699,070"
12/27/2021,"147.51","154.89","147.25","154.36","53,296,379"
12/23/2021,"143.89","149.02","143.85","146.14","48,653,793"
12/22/2021,"142.65","144.50","140.27","143.88","46,923,680"
12/21/2021,"138.19","144.50","135.15","144.25","57,785,238"
12/20/2021,"135.97","138.26","133.52","135.80","38,195,398"
12/17/2021,"136.30","142.04","136.11","137.75","55,692,281"
12/16/2021,"147.00","147.93","137.02","138.64","63,369,551"
12/15/2021,"135.11","146.69","133.81","146.50","72,425,773"
12/14/2021,"131.67","137.24","130.60","135.60","50,754,641"
12/13/2021,"138.25","139.40","133.42","133.80","42,173,961"
12/10/2021,"141.29","141.37","135.82","138.55","42,224,281"
12/09/2021,"145.16","146.69","137.80","138.10","53,019,930"
12/08/2021,"144.96","147.04","142.70","145.24","40,977,480"
12/07/2021,"143.90","145.76","141.00","144.85","53,359,434"
12/06/2021,"141.14","141.31","134.20","139.06","66,776,484"
12/03/2021,"151.65","152.38","140.72","144.01","65,910,031"
12/02/2021,"147.68","152.53","146.47","150.68","56,161,219"
12/01/2021,"160.37","160.88","148.92","149.11","64,185,121"
11/30/2021,"163.28","164.46","155.68","158.37","75,182,555"
11/29/2021,"157.50","162.51","156.10","161.91","57,438,871"
11/26/2021,"155.80","158.10","152.81","154.81","36,245,070"
11/24/2021,"149.46","157.93","147.19","157.80","60,677,059"
11/23/2021,"150.41","152.66","145.30","149.92","62,852,711"
11/22/2021,"157.14","161.88","152.39","152.52","58,674,078"
11/19/2021,"155.76","156.92","153.45","155.41","41,668,859"
11/18/2021,"157.07","158.89","152.56","155.02","60,612,727"
11/17/2021,"151.98","154.66","149.69","151.34","54,527,480"
11/16/2021,"145.93","153.08","145.34","152.45","53,100,809"
11/15/2021,"148.00","148.98","142.86","146.49","52,271,273"
11/12/2021,"146.03","148.59","144.25","147.89","52,162,141"
11/11/2021,"142.96","146.47","140.84","146.01","67,934,852"
11/10/2021,"143.93","146.30","138.52","139.87","82,989,148"
11/09/2021,"154.01","155.65","143.89","148.92","98,442,602"
11/08/2021,"137.70","153.60","137.70","150.16","141,493,797"
11/05/2021,"139.19","141.22","134.42","136.34","64,920,602"
11/04/2021,"132.01","139.00","130.77","137.50","84,825,156"
11/03/2021,"127.75","130.60","126.79","130.53","59,537,820"
11/02/2021,"124.98","128.46","124.20","127.63","53,491,941"
11/01/2021,"119.45","125.67","118.13","125.23","54,559,781"
10/29/2021,"120.95","122.57","119.88","120.23","43,320,129"
10/28/2021,"122.86","123.50","120.26","121.16","58,002,461"
10/27/2021,"121.63","128.08","121.05","122.28","98,245,320"
10/26/2021,"122.99","127.20","122.58","122.93","59,458,930"
10/25/2021,"120.52","123.46","118.60","122.36","47,834,121"
10/22/2021,"120.83","121.56","118.37","119.82","38,992,688"
10/21/2021,"116.50","119.68","116.26","119.33","34,794,953"
10/20/2021,"116.29","118.30","115.42","116.39","34,244,809"
10/19/2021,"116.16","117.17","114.47","116.33","39,593,941"
10/18/2021,"111.90","116.88","111.37","116.43","47,537,762"
10/15/2021,"112.51","112.84","111.11","112.12","34,203,008"
10/14/2021,"110.50","112.22","109.63","111.99","46,900,160"
10/13/2021,"106.28","109.88","106.25","109.16","55,631,922"
10/12/2021,"105.17","106.04","104.34","105.04","34,039,910"
10/11/2021,"104.62","107.20","104.02","104.68","31,284,391"
10/08/2021,"106.55","107.28","104.89","105.06","30,623,051"
10/07/2021,"104.60","107.95","104.46","106.45","41,543,113"
10/06/2021,"100.45","103.72","100.35","103.64","39,071,699"
10/05/2021,"100.92","102.87","100.61","101.81","31,455,250"
10/04/2021,"101.74","101.85","99.82","100.34","41,967,152"
10/01/2021,"102.60","103.00","100.64","102.45","41,491,594"
09/30/2021,"102.08","104.44","101.99","102.90","57,636,699"
09/29/2021,"102.30","102.66","99.81","100.35","52,224,719"
09/28/2021,"106.84","107.65","101.42","101.52","74,468,969"
09/27/2021,"105.07","108.44","103.44","108.16","51,944,352"
09/24/2021,"105.19","106.05","104.68","105.80","26,482,609"
09/23/2021,"104.89","106.86","103.89","106.15","32,816,660"
09/22/2021,"102.82","104.56","102.21","104.38","34,126,281"
09/21/2021,"102.15","103.43","101.18","102.82","35,481,500"
09/20/2021,"101.58","102.51","99.51","101.55","45,228,406"
09/17/2021,"105.56","105.98","103.71","103.88","44,528,340"
09/16/2021,"104.92","106.75","103.76","106.22","38,150,273"
09/15/2021,"106.00","106.32","104.03","105.60","37,998,941"
09/14/2021,"105.52","106.82","104.42","105.73","40,629,527"
09/13/2021,"105.26","105.28","102.63","104.80","37,767,793"
09/10/2021,"106.99","106.99","104.98","105.20","32,602,289"
09/09/2021,"106.56","107.30","105.84","106.15","31,857,869"
09/08/2021,"108.88","109.30","105.52","106.17","43,067,910"
09/07/2021,"109.96","110.58","108.66","109.15","28,815,230"
09/03/2021,"108.85","111.17","108.50","109.92","42,623,781"
09/02/2021,"110.32","110.88","108.77","109.20","40,108,762"
09/01/2021,"111.30","111.85","109.85","109.99","38,579,559"
08/31/2021,"111.26","111.26","109.03","110.72","49,338,961"
08/30/2021,"112.61","114.49","111.26","111.32","56,130,473"
08/27/2021,"108.01","111.78","107.80","111.40","61,030,008"
08/26/2021,"108.57","109.23","106.84","107.27","51,442,551"
08/25/2021,"108.13","109.91","107.45","108.30","45,485,500"
08/24/2021,"109.45","109.61","107.28","107.65","51,239,301"
08/23/2021,"105.30","109.02","104.86","108.77","68,835,281"
08/20/2021,"104.32","105.98","103.99","104.65","55,227,559"
08/19/2021,"103.32","106.18","101.98","103.70","71,117,484"
08/18/2021,"107.35","108.07","103.27","103.44","79,387,938"
08/17/2021,"106.64","108.70","105.35","107.56","74,053,914"
08/16/2021,"110.20","111.58","105.87","107.48","73,398,945"
08/13/2021,"107.17","111.71","106.57","110.55","100,135,695"
08/12/2021,"107.39","108.44","105.86","106.50","60,625,727"
08/11/2021,"107.60","109.79","105.62","107.68","91,788,289"
08/10/2021,"107.90","109.17","104.36","106.48","113,012,305"
08/09/2021,"111.31","112.33","107.06","107.58","115,749,906"
08/06/2021,"110.55","116.26","109.70","110.11","143,899,016"
08/05/2021,"116.63","117.68","111.59","112.35","137,860,891"
08/04/2021,"114.36","122.49","114.16","118.77","225,368,703"
08/03/2021,"108.15","114.85","107.66","112.56","157,723,109"
08/02/2021,"105.93","110.33","103.83","108.63","115,581,906"
07/30/2021,"101.60","106.97","101.38","106.19","125,632,000"
07/29/2021,"96.58","105.74","96.58","102.95","164,091,812"
07/28/2021,"93.44","98.71","89.65","97.93","140,560,984"
07/27/2021,"92.94","94.10","89.10","91.03","69,427,023"
07/26/2021,"92.01","92.75","91.12","91.82","27,668,461"
07/23/2021,"91.35","92.37","90.19","92.15","31,708,900"
07/22/2021,"89.40","91.36","89.08","91.21","33,730,078"
07/21/2021,"87.25","89.49","86.90","89.41","29,469,859"
07/20/2021,"87.09","87.77","85.17","87.11","28,088,961"
07/19/2021,"84.99","87.23","84.24","86.58","39,244,801"
07/16/2021,"87.32","88.03","85.68","85.89","35,860,738"
07/15/2021,"89.78","89.78","86.18","86.93","38,944,738"
07/14/2021,"90.76","91.40","88.94","89.05","28,108,510"
07/13/2021,"90.48","91.41","89.83","90.26","30,367,600"
07/12/2021,"91.22","91.90","89.65","90.81","28,526,561"
07/09/2021,"90.04","91.26","88.53","90.90","35,278,422"
07/08/2021,"87.86","90.34","87.45","89.74","45,673,449"
07/07/2021,"95.02","95.44","90.31","90.54","51,498,480"
07/06/2021,"94.88","95.41","93.32","94.47","44,930,121"
07/02/2021,"93.28","95.27","92.21","94.70","51,342,980"
07/01/2021,"94.04","94.18","91.70","93.31","58,059,020"
06/30/2021,"90.82","94.34","90.60","93.93","70,721,531"
06/29/2021,"87.41","90.30","86.66","89.52","46,181,000"
06/28/2021,"86.38","88.00","86.15","87.08","30,262,039"
06/25/2021,"86.34","86.36","85.10","85.62","27,804,539"
06/24/2021,"84.39","87.14","84.37","86.10","42,217,672"
06/23/2021,"83.83","84.49","83.16","83.82","25,992,439"
06/22/2021,"82.90","84.04","82.48","83.58","32,107,699"
06/21/2021,"83.49","84.19","82.21","82.59","44,417,113"
06/18/2021,"84.28","85.77","83.48","84.65","58,736,809"
06/17/2021,"80.77","85.37","80.57","84.56","77,822,812"
06/16/2021,"80.75","81.45","78.96","80.11","29,598,311"
06/15/2021,"81.59","81.68","80.23","80.47","26,194,340"
06/14/2021,"81.51","81.55","80.20","81.55","27,830,240"
06/11/2021,"81.61","82.33","80.70","81.31","24,310,891"
06/10/2021,"80.02","81.71","79.70","81.56","28,606,359"
06/09/2021,"81.09","81.68","79.80","79.96","28,454,650"
06/08/2021,"81.87","82.65","80.45","80.89","26,956,631"
06/07/2021,"81.40","81.68","80.38","81.35","29,006,779"
06/04/2021,"80.92","82.19","80.81","81.58","26,387,801"
06/03/2021,"81.13","81.89","80.26","80.28","29,811,971"
06/02/2021,"81.00","82.60","80.66","81.97","35,203,219"
06/01/2021,"81.01","82.91","80.66","80.81","43,433,039"
05/28/2021,"78.66","81.09","78.66","80.08","40,952,660"
05/27/2021,"78.11","78.43","77.47","78.42","35,883,219"
